ts,referer,page,user_agent,ip
2014-04-15 09:10:32.713893,,,,68.180.225.51
2014-04-15 09:13:33.180539,,,,128.143.53.131
2014-04-15 09:13:43.666353,,,,12.107.136.146
2014-04-15 09:14:04.355616,,,,12.107.136.146
2014-04-15 09:26:00.503761,,,,78.27.153.104
2014-04-15 09:32:31.106285,,,,71.125.26.130
2014-04-15 09:33:38.463617,,,,199.19.249.196
2014-04-15 09:33:39.233955,,,,196.34.16.50
2014-04-15 09:33:40.923393,,,,199.19.249.196
2014-04-15 09:33:41.554710,,,,196.34.16.50
2014-04-15 09:39:53.386202,,,,161.7.77.24
2014-04-15 09:42:32.259824,,,,129.246.254.191
2014-04-15 09:43:16.207997,,,,152.120.255.251
2014-04-15 09:45:53.817630,,,,209.48.245.162
2014-04-15 09:54:53.231300,,,,130.192.155.203
2014-04-15 09:55:36.279512,,,,130.192.155.201
2014-04-15 10:01:18.677314,,,,37.118.58.88
2014-04-15 10:07:51.359147,,,,36.82.2.20
2014-04-15 10:10:12.184348,,,,176.31.230.10
2014-04-15 10:14:07.805454,,,,69.61.205.190
2014-04-15 10:14:53.642881,,,,50.74.21.18
2014-04-15 10:15:46.066415,,,,105.236.73.42
2014-04-15 10:18:32.995689,,,,206.71.250.50
2014-04-15 10:18:40.088533,,,,206.71.250.50
2014-04-15 10:23:42.516714,,,,118.165.190.234
2014-04-15 10:24:12.781859,,,,208.65.73.143
2014-04-15 10:26:37.719376,,,,178.210.103.194
2014-04-15 10:27:31.933387,,,,109.238.228.42
2014-04-15 10:31:33.240495,,,,141.62.33.30
2014-04-15 10:31:48.355326,,,,129.31.189.59
2014-04-15 10:36:39.403102,,,,129.31.189.59
2014-04-15 10:39:36.022809,,,,198.234.164.126
2014-04-15 10:39:44.969964,,,,8.28.16.254
2014-04-15 10:39:44.570886,,,,198.134.51.41
2014-04-15 10:39:44.387821,,,,8.28.16.254
2014-04-15 10:39:45.222020,,,,198.134.51.41
2014-04-15 10:43:43.422726,,,,168.179.56.31
2014-04-15 10:46:01.923592,,,,67.188.150.86
2014-04-15 10:48:46.300717,,,,141.62.33.30
2014-04-15 10:49:06.543638,,,,141.62.33.30
2014-04-15 10:52:28.918425,,,,198.134.51.41
2014-04-15 10:52:29.605956,,,,198.134.51.41
2014-04-15 10:58:39.146318,,,,82.158.126.75
2014-04-15 11:02:12.047231,,,,205.156.36.10
2014-04-15 11:02:59.041288,,,,66.249.76.7
2014-04-15 11:03:34.452938,,,,71.41.16.34
2014-04-15 11:05:24.775352,,,,142.229.83.177
2014-04-15 11:07:55.586459,,,,54.204.20.249
2014-04-15 11:10:45.300627,,,,187.35.145.136
2014-04-15 11:13:15.720524,,,,81.149.194.131
2014-04-15 11:18:24.026133,,,,173.1.110.188
2014-04-15 11:18:25.298575,,,,173.1.110.188
2014-04-15 11:22:08.928616,,,,50.246.101.41
2014-04-15 11:29:50.265607,,,,66.249.76.82
2014-04-15 11:30:05.369080,,,,136.181.195.25
2014-04-15 11:32:09.903310,,,,176.31.230.10
2014-04-15 11:40:03.501254,,,,79.59.211.120
2014-04-15 11:43:22.127019,,,,142.229.115.128
2014-04-15 11:45:32.309199,,,,27.32.158.18
2014-04-15 11:45:42.924714,,,,107.224.198.165
2014-04-15 11:48:13.494387,,,,89.155.47.120
2014-04-15 11:49:56.615736,,,,54.224.172.54
2014-04-15 11:50:33.092712,,,,184.151.111.14
2014-04-15 11:53:20.320653,,,,116.70.210.154
2014-04-15 11:54:48.446431,,,,165.112.115.107
2014-04-15 11:55:33.094531,,,,108.24.72.137
2014-04-15 11:58:18.196990,,,,79.59.211.120
2014-04-15 12:03:00.963395,,,,202.180.34.186
2014-04-15 12:06:43.134911,,,,12.163.145.67
